Occupation Code / 职业代码,Occupation Name / 职业名称,Avg Substitutivity (0-1) / 平均替代性 (0-1),Avg Augmentation (0-1) / 平均增强性 (0-1),Avg Complementarity (0-1) / 平均互补性 (0-1),Avg Substitutivity (1-5) / 平均替代性 (1-5),Avg Augmentation (1-5) / 平均增强性 (1-5),Avg Complementarity (1-5) / 平均互补性 (1-5),Exposure Index Rho / 暴露指数 Rho
,数字化管理师S,,,,,,,0.402
,企业合规师,,,,,,,0.3365
,招标采购专业人员,,,,,,,0.5495
,技术经理人,,,,,,,0.4205
,不动产确权登记专业人员,,,,,,,0.4115
,人力资源管理专业人员,,,,,,,0.398
,人力资源服务专业人员,,,,,,,0.461
,职业信息分析专业人员,,,,,,,0.611
,职业技术实训指导专业人员,,,,,,,0.385
,银行国库业务专业人员,,,,,,,0.563
,银行金融市场业务专业人员,,,,,,,0.5865
,银行清算专业人员,,,,,,,0.6505
,信贷审核专业人员,,,,,,,0.6165
,银行国际业务专业人员,,,,,,,0.5125
,公司金融顾问,,,,,,,0.6375
,精算专业人员,,,,,,,0.4525
,保险核保专业人员,,,,,,,0.469
,保险理赔专业人员,,,,,,,0.514
,保险资金运用专业人员,,,,,,,0.4215
,证券保荐承销专业人员,,,,,,,0.3515
,证券交易专业人员,,,,,,,0.261
,证券投资专业人员,,,,,,,0.639
,金融产品销售专业人员,,,,,,,0.467
,黄金投资专业人员,,,,,,,0.54
,期货专业人员,,,,,,,0.6305
,基金专业人员,,,,,,,0.4425
,专利代理专业人员,,,,,,,0.497
,专利审查专业人员,,,,,,,0.468
,专利管理专业人员,,,,,,,0.4545
,知识产权信息分析专业人员,,,,,,,0.5095
,版权专业人员,,,,,,,0.46
,商标代理专业人员,,,,,,,0.56
,商标审查审理专业人员,,,,,,,0.4425
,商标管理专业人员,,,,,,,0.4915
,医保经办专业人员,,,,,,,0.5155
,金融科技师S,,,,,,,0.5195
,监察人员,,,,,,,0.3845
,法官,,,,,,,0.336
,检察官,,,,,,,0.44
,律师,,,,,,,0.4035
,公证员,,,,,,,0.393
,法医,,,,,,,0.326
,物证鉴定人员,,,,,,,0.255
,审判辅助人员,,,,,,,0.375
,法律顾问,,,,,,,0.535
,宗教教职人员,,,,,,,0.4425
,社会工作者,,,,,,,0.4095
,社会组织专业人员,,,,,,,0.36
,心理咨询师,,,,,,,0.432
,普通高等学校教师,,,,,,,0.388
,高等职业学校教师,,,,,,,0.365
,高级中学教师,,,,,,,0.3825
,中等职业学校教师,,,,,,,0.4135
,初级中学教师,,,,,,,0.449
,小学教师,,,,,,,0.3515
,幼儿园教师,,,,,,,0.257
,特殊教育教师,,,,,,,0.3225
,文学作家,,,,,,,0.434
,曲艺作家,,,,,,,0.377
,剧作家,,,,,,,0.4455
,作曲家,,,,,,,0.3835
,词作家,,,,,,,0.5685
,导演,,,,,,,0.3385
,舞蹈编导,,,,,,,0.4255
,舞美设计,,,,,,,0.395
,音乐指挥,,,,,,,0.319
,电影电视演员,,,,,,,0.283
,戏剧戏曲演员,,,,,,,0.325
,舞蹈演员,,,,,,,0.262
,曲艺演员,,,,,,,0.315
,杂技魔术演员,,,,,,,0.389
,歌唱演员,,,,,,,0.3126
,皮影戏木偶戏演员,,,,,,,0.3195
,民族乐器演奏员,,,,,,,0.323
,外国乐器演奏员,,,,,,,0.3535
,电影电视制片人,,,,,,,0.4245
,电影电视场记,,,,,,,0.4425
,电影电视摄影师,,,,,,,0.4105
,电影电视片发行人,,,,,,,0.454
,电视导播,,,,,,,0.4325
,剪辑师,,,,,,,0.453
,灯光师,,,,,,,0.3575
,音像师,,,,,,,0.371
,美工师,,,,,,,0.41
,化妆师,,,,,,,0.402
,装置师,,,,,,,0.38
,服装道具师,,,,,,,0.3925
,演出监督,,,,,,,0.3995
,演出制作人,,,,,,,0.3915
,画家,,,,,,,0.4375
,篆刻家,,,,,,,0.4475
,雕塑家,,,,,,,0.4195
,书法家,,,,,,,0.392
,摄影家,,,,,,,0.339
,视觉传达设计人员,,,,,,,0.4665
,服装设计人员,,,,,,,0.5
,动画设计人员,,,,,,,0.4825
,环境设计人员,,,,,,,0.4225
,染织艺术设计人员,,,,,,,0.5215
,工艺美术专业人员,,,,,,,0.309
,数字媒体艺术专业人员S,,,,,,,0.418
,公共艺术专业人员,,,,,,,0.386
,陈列展览设计人员,,,,,,,0.445
,教练员,,,,,,,0.404
,裁判员,,,,,,,0.317
,运动员,,,,,,,0.3515
,运动防护师,,,,,,,0.5345
,体育经理人,,,,,,,0.388
,文字记者,,,,,,,0.422
,摄影记者,,,,,,,0.402
,文字编辑,,,,,,,0.4945
,美术编辑,,,,,,,0.5215
,技术编辑,,,,,,,0.356
,数字出版编辑S,,,,,,,0.5125
,网络编辑S,,,,,,,0.508
,电子音乐编辑,,,,,,,0.5675
,校对员,,,,,,,0.566
,播音员,,,,,,,0.3905
,节目主持人,,,,,,,0.4615
,翻译,,,,,,,0.494
,手语翻译,,,,,,,0.4185
,文献信息专业人员,,,,,,,0.573
,微缩摄影专业人员,,,,,,,0.5495
,档案专业人员,,,,,,,0.445
,考古专业人员,,,,,,,0.3065
,文物藏品专业人员,,,,,,,0.4145
,可移动文物保护专业人员,,,,,,,0.3915
,不可移动文物保护专业人员,,,,,,,0.3755
,文物展陈专业人员,,,,,,,0.3905
,行政办事员,,,,,,,0.513
,政务服务办事员,,,,,,,0.4135
,统计调查员,,,,,,,0.453
,社团会员管理员,,,,,,,0.538
,劝募员,,,,,,,0.5045
,机要员,,,,,,,0.167
,秘书,,,,,,,0.453
,公关员,,,,,,,0.5555
,收发员,,,,,,,0.4405
,打字员,,,,,,,0.7156
,速录师,,,,,,,0.4025
,制图员,,,,,,,0.555
,后勤管理员,,,,,,,0.351
,行政执法员,,,,,,,0.4105
,劳动人事争议仲裁员,,,,,,,0.5645
,农村土地承包仲裁员,,,,,,,0.4255
,村和社区工作者,,,,,,,0.4275
,城市管理网格员,,,,,,,0.465
,劳动保障协理员,,,,,,,0.428
,退役军人事务员,,,,,,,0.5615
,基层法律服务工作者,,,,,,,0.3335
,医疗保障专员,,,,,,,0.6525
,人民警察,,,,,,,0.3375
,保卫管理员,,,,,,,0.419
,辅警,,,,,,,0.433
,消防员,,,,,,,0.3625
,消防指挥员,,,,,,,0.4945
,消防装备管理员,,,,,,,0.4225
,消防安全管理员,,,,,,,0.436
,消防监督检查员,,,,,,,0.3515
,森林消防员L,,,,,,,0.4175
,森林火情瞭望观察员L,,,,,,,0.45
,应急救援员,,,,,,,0.4125
,仲裁员,,,,,,,0.573
,仲裁秘书,,,,,,,0.5245
,调解员,,,,,,,0.443
,采购员,,,,,,,0.5455
,营销员,,,,,,,0.545
,商品营业员,,,,,,,0.527
,收银员,,,,,,,0.6106
,摊商,,,,,,,0.393
,连锁经营管理师,,,,,,,0.4755
,农产品经纪人,,,,,,,0.475
,粮油竞价交易员,,,,,,,0.338
,易货师,,,,,,,0.4735
